change_month,new_addition,account_code
2022-03-01,deportes,88980
2022-03-01,english,26
2022-03-01,entertainment,1334
2022-03-01,entertainment-preview,6
2022-03-01,entertainment-v2,628
2022-03-01,epix,977
2022-03-01,extra,525
2022-03-01,fubo-extra-lite,34250
2022-03-01,fubo-extra-lite-preview,7
2022-03-01,intl-sports-plus,17537
2022-03-01,latino,2705
2022-03-01,lifestyle,91
2022-03-01,mundo,345
2022-03-01,nbalp,3812
2022-03-01,news-plus,30951
2022-03-01,portuguese,1563
2022-03-01,portuguese_plus,97
2022-03-01,premiere,897
2022-03-01,raiitalia,1817
2022-03-01,rsn-fee,325832
2022-03-01,showtime,4797
2022-03-01,spanish,231
2022-03-01,sports-lite,4077
2022-03-01,starz,2427
2022-03-01,starz-epix-showtime,8235
2022-03-01,third-screen,16639
2022-03-01,tv5-monde,1020
2022-03-01,unlimited-screen-home,20053
2022-04-01,,657772
2022-04-01, ,7335
2022-04-01,advanced-dvr,12297
2022-04-01,advanced-dvr-1000,10928
2022-04-01,advanced-dvr-250,40076
2022-04-01,adventure,10334
2022-04-01,amc-premiere,3279
2022-04-01,cycling,69
2022-04-01,deportes,76811
2022-04-01,english,26
2022-04-01,entertainment,1323
2022-04-01,entertainment-preview,6
2022-04-01,entertainment-v2,634
2022-04-01,epix,983
2022-04-01,extra,515
2022-04-01,fubo-extra-lite,33305
2022-04-01,fubo-extra-lite-preview,5
2022-04-01,intl-sports-plus,17068
2022-04-01,latino,2791
2022-04-01,lifestyle,86
2022-04-01,mundo,397
2022-04-01,nbalp,4068
2022-04-01,news-plus,47773
2022-04-01,pantaya,103
2022-04-01,portuguese,1618
2022-04-01,portuguese_plus,96
2022-04-01,premiere,922
2022-04-01,raiitalia,1826
2022-04-01,rsn-fee,331416
2022-04-01,showtime,4673
2022-04-01,spanish,226
2022-04-01,sports-lite,4260
2022-04-01,starz,2412
2022-04-01,starz-epix-showtime,8171
2022-04-01,third-screen,13204
2022-04-01,tv5-monde,1071
2022-04-01,unlimited-screen-home,18928
2022-05-01,,618824
2022-05-01, ,6522
2022-05-01,4k-screen,1168
2022-05-01,advanced-dvr,11824
2022-05-01,advanced-dvr-1000,36771
2022-05-01,advanced-dvr-250,37782
2022-05-01,adventure,10395
2022-05-01,amc-premiere,3205
2022-05-01,cycling,67
2022-05-01,deportes,69501
2022-05-01,english,25
2022-05-01,entertainment,1245
2022-05-01,entertainment-preview,5
2022-05-01,entertainment-v2,640
2022-05-01,epix,936
2022-05-01,extra,524
2022-05-01,fubo-extra-lite,33294
2022-05-01,fubo-extra-lite-preview,6
2022-05-01,intl-sports-plus,15376
2022-05-01,latino,2770
2022-05-01,lifestyle,83
2022-05-01,mundo,378
2022-05-01,nbalp,4030
2022-05-01,news-plus,46879
2022-05-01,pantaya,354
2022-05-01,portuguese,1639
2022-05-01,portuguese_plus,95
2022-05-01,premiere,893
2022-05-01,raiitalia,1825
2022-05-01,rsn-fee,322675
2022-05-01,showtime,4947
2022-05-01,spanish,216
2022-05-01,sports-lite,4364
2022-05-01,starz,2307
2022-05-01,starz-epix-showtime,7956
2022-05-01,third-screen,12890
2022-05-01,tv5-monde,1062
